Id,Label,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Local Clustering Coefficient,Number of Connections (Degree),Community_Id
Paul Teller,Paul Teller,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Donald J. Trump,Donald J. Trump,0.6059602649006622,0.9742249895491848,0.7006960556844548,0.6973459084798839,0.0021617726535759323,183,0
Joe Hagin,Joe Hagin,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Kellyanne Conway,Kellyanne Conway,0.016556291390728478,0.013223031396448922,0.4182825484764543,0.060929420035656545,0.3,5,31
Wilbur Ross,Wilbur Ross,0.009933774834437087,0.01977954280433874,0.41597796143250687,0.051053809185632765,0.0,3,26
George E. Norcross Iii,George E. Norcross Iii,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Jared Kushner,Jared Kushner,0.06291390728476821,0.1455853556577413,0.44477172312223856,0.06253061922526984,0.04678362573099415,19,25
Stephen A. Schwarzman,Stephen A. Schwarzman,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
David Shulkin,David Shulkin,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
James Sherk,James Sherk,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Brian Baudreau,Brian Baudreau,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Sean Hannity,Sean Hannity,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Robert Goad,Robert Goad,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Steven N. Cheung,Steven N. Cheung,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Bill Stepien,Bill Stepien,0.009933774834437087,0.0033222591362126242,0.41483516483516486,0.05504238414233081,0.3333333333333333,3,24
Ajit Pai,Ajit Pai,0.009933774834437087,0.006622516556291391,0.4171270718232044,0.055545121351872596,0.3333333333333333,3,16
Allen Weisselberg,Allen Weisselberg,0.006622516556291391,0.006622516556291391,0.4136986301369863,0.0507830719858521,0.0,2,6
Eric Ueland,Eric Ueland,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Ado Machida,Ado Machida,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
